Key,Year,CompanyCode,CompanyName,OperatingRevenues,NetIncomeAfterTax,CapitalStock,EPS
2013_2501,2013,2501,國建,8141139,1687746,16565158,1.02
2013_2504,2013,2504,國產,31632387,930700,15192983,0.62
2013_2505,2013,2505,國揚,10616898,1687977,5033136,3.39
2013_2506,2013,2506,太設,3357187,674180,4100000,1.76
2013_2509,2013,2509,全坤建,358204,396041,1517520,2.61
2013_2511,2013,2511,太子,17242007,1652753,13139241,1.3
2013_2515,2013,2515,中工,14292991,254939,15250175,0.17
2013_2516,2013,2516,新建,10184253,-34654,2364775,-0.15
2013_2520,2013,2520,冠德,7284392,1197081,5037910,2.42
2013_2524,2013,2524,京城,4784454,1563557,3759261,4.16
2013_2527,2013,2527,宏璟,2391325,329610,2703060,1.26
2013_2528,2013,2528,皇普,1866518,161132,1186300,1.47
2013_2530,2013,2530,華建,602996,-35184,2707525,-0.13
2013_2534,2013,2534,宏盛,829887,-145411,5890910,-0.25
2013_2535,2013,2535,達欣工,15148111,836194,2196229,4.06
2013_2536,2013,2536,宏普,4005958,883865,3199510,2.77
2013_2537,2013,2537,聯上發,2283342,551312,1709408,3.5
2013_2538,2013,2538,基泰,2610254,896368,4087754,2.22
2013_2539,2013,2539,櫻花建,3120522,990874,1879039,5.27
2013_2540,2013,2540,愛山林,507048,200004,966000,7.91
2013_2542,2013,2542,興富發,28310296,6407447,5982701,10.85
2013_2543,2013,2543,皇昌,3598060,263740,1789837,1.47
2013_2545,2013,2545,皇翔,5138420,1651762,3277348,5.04
2013_2546,2013,2546,根基,5973224,177817,1060357,1.68
2013_2547,2013,2547,日勝生,30391438,10139438,8589869,12.01
2013_2548,2013,2548,華固,10269414,3065541,2768127,11.08
2013_2597,2013,2597,潤弘,14495978,1114566,1350000,8.26
2013_2841,2013,2841,台開,2536417,843152,6553003,1.37
2013_2923,2013,2923,F-鼎固,10767050,1307046,17402970,0.75
2013_3052,2013,3052,夆典,8176431,1252948,2036753,7
2013_3056,2013,3056,總太,3879195,1319527,1497625,9.27
2013_3703,2013,3703,欣陸,17982464,920401,8411581,1.09
2013_5515,2013,5515,建國,6465940,1076890,3601191,3.03
2013_5521,2013,5521,工信,4399069,95568,3475274,0.27
2013_5522,2013,5522,遠雄,25117622,6694437,8354332,8.66
2013_5525,2013,5525,順天,2942973,620588,2385624,2.69
2013_5531,2013,5531,鄉林,7797418,2483567,6170000,4.03
2013_5533,2013,5533,皇鼎,3220544,751746,2431696,3.09
2013_5534,2013,5534,長虹,8233267,5063002,2488142,20.36
2013_6177,2013,6177,達麗,960491,38337,1642172,0.23
2013_9946,2013,9946,三發,5490940,1360493,2045463,6.71
2013_2208,2013,2208,台船,24892573,436902,7435652,0.59
2013_2601,2013,2601,益航,8122044,-291167,3776172,-0.79
2013_2603,2013,2603,長榮,139216384,-1497304,34749523,-0.43
2013_2605,2013,2605,新興,4763653,1099224,5683042,1.93
2013_2606,2013,2606,裕民,7407948,1566909,8580167,1.83
2013_2607,2013,2607,榮運,6113325,580653,10671411,0.54
2013_2608,2013,2608,大榮,7548614,882936,4835825,1.83
2013_2609,2013,2609,陽明,118873960,-2946114,28187131,-0.9
2013_2610,2013,2610,華航,141702545,-1274046,52000000,-0.25
2013_2611,2013,2611,志信,1580575,21041,1792172,0.12
2013_2612,2013,2612,中航,3333395,396648,2564736,1.55
2013_2613,2013,2613,中櫃,2536888,80446,890010,1.09
2013_2614,2013,2614,東森,11718163,306321,6959874,0.44
2013_2615,2013,2615,萬海,59688505,2129108,22182975,0.96
2013_2617,2013,2617,台航,2772840,542293,4172945,1.3
2013_2618,2013,2618,長榮航,124164451,747450,32589450,0.23
2013_2637,2013,2637,F-慧洋,8327523,1439155,4511092,3.43
2013_2642,2013,2642,宅配通,2576537,184700,954670,2.13
2013_5607,2013,5607,遠雄港,1225584,183594,1699791,1.08
2013_5608,2013,5608,四維航,4657687,353600,4033500,0.89
2013_6702,2013,6702,復航,12172813,133010,5542207,0.24
2013_2701,2013,2701,萬企,359409,206002,3651577,0.56
2013_2702,2013,2702,華園,646667,38068,874558,0.44
2013_2704,2013,2704,國賓,3214810,356106,3669234,0.97
2013_2705,2013,2705,六福,2480924,-138945,3302410,-0.42
2013_2706,2013,2706,第一店,360633,303373,3698137,0.82
2013_2707,2013,2707,晶華,5735580,1133238,1062937,10.66
2013_2712,2013,2712,遠雄來,519756,65178,1050000,0.68
2013_2722,2013,2722,夏都,663225,141797,849542,1.67
2013_2723,2013,2723,F-美食,15114334,574032,1411200,4.07
2013_2727,2013,2727,王品,14880588,1019826,747455,13.64
2013_2731,2013,2731,雄獅,15854268,372046,700000,5.85
2013_5706,2013,5706,鳳凰,3108572,184733,610605,3.03
2013_8940,2013,8940,新天地,1296755,-36539,674910,-0.54
2013_2801,2013,2801,彰銀,23823209,8818249,77490592,1.14
2013_2809,2013,2809,京城銀,6772052,4142013,12012343,3.53
2013_2812,2013,2812,台中銀,9264252,3060271,25345339,1.23
2013_2816,2013,2816,旺旺保,4959497,517817,2000000,2.59
2013_2820,2013,2820,華票,1616119,1400861,13429600,1.04
2013_2823,2013,2823,中壽,206371628,4724743,27221478,1.74
2013_2832,2013,2832,台產,4018217,820835,3638164,2.26
2013_2833,2013,2833,台壽保,76171972,477304,9575979,0.51
2013_2834,2013,2834,臺企銀,17723241,3610202,50941482,0.71
2013_2836,2013,2836,高雄銀,2937265,419105,7210492,0.58
2013_2837,2013,2837,萬泰銀,6404947,3052518,15257680,2
2013_2838,2013,2838,聯邦銀,10490546,2867891,22165251,1.3
2013_2845,2013,2845,遠東銀,9487629,3061270,23621182,1.3
2013_2847,2013,2847,大眾銀,9874310,2656315,23897922,1.15
2013_2849,2013,2849,安泰銀,6561519,2641255,16796775,1.57
2013_2850,2013,2850,新產,10049686,971678,3159633,3.08
2013_2851,2013,2851,中再保,15384494,732090,5622750,1.3
2013_2852,2013,2852,第一保,4954511,706002,3011638,2.34
2013_2855,2013,2855,統一證,4613318,1361715,13231191,1.03
2013_2856,2013,2856,元富證,4574405,840761,15604309,0.56
2013_2867,2013,2867,三商壽,150569782,2448612,12280539,1.99
2013_2880,2013,2880,華南金,35501692,10051213,90562816,1.11
2013_2881,2013,2881,富邦金,374120993,32709351,102336040,3.31
2013_2882,2013,2882,國泰金,382877282,28815775,119649621,2.5
2013_2883,2013,2883,開發金,24709746,8304001,150308833,0.56
2013_2884,2013,2884,玉山金,26747426,8416145,55243000,1.53
2013_2885,2013,2885,元大金,28697569,7709994,98937235,0.78
2013_2886,2013,2886,兆豐金,55008468,22489232,124498240,1.96
2013_2887,2013,2887,台新金,55827233,13836248,82548070,1.72
2013_2888,2013,2888,新光金,147996743,9986345,93288169,1.11
2013_2889,2013,2889,國票金,4213647,1350210,26280696,0.52
2013_2890,2013,2890,永豐金,32931842,10790969,82077358,1.32
2013_2891,2013,2891,中信金,127166619,21502785,147129560,1.5
2013_2892,2013,2892,第一金,36466232,10888641,86535092,1.26
2013_5880,2013,5880,合庫金,34854684,8496667,86142667,1
2013_6005,2013,6005,群益證,5974094,1471784,23690730,0.62
2013_2901,2013,2901,欣欣,150961,36446,730433,0.5
2013_2903,2013,2903,遠百,46754377,2165564,14109761,1.54
2013_2905,2013,2905,三商行,173585978,918884,6813829,1.43
2013_2906,2013,2906,高林,6248395,101015,2219817,0.46
2013_2908,2013,2908,特力,35203864,635139,5219555,1.3
2013_2910,2013,2910,統領,663423,99917,2087250,0.57
2013_2911,2013,2911,麗嬰房,9305249,-72304,2112958,-0.34
2013_2912,2013,2912,統一超,200610839,8036752,10396223,7.73
2013_2913,2013,2913,農林,1774665,1022509,7152287,1.52
2013_2915,2013,2915,潤泰全,76546540,43587278,9414343,54.85
2013_2929,2013,2929,F-淘帝,3795445,573809,528000,12.72
2013_5906,2013,5906,F-台南,2091400,-660099,963233,-6.99
2013_5907,2013,5907,F-大洋,7181500,986226,2020000,4.94
2013_8429,2013,8429,F-金麗,5172937,954292,1209686,7.89
2013_1704,2013,1704,榮化,49838862,-224887,8532424,-0.26
2013_1708,2013,1708,東碱,4050573,434383,1657316,2.62
2013_1709,2013,1709,和益,11321970,296779,4299329,0.69
2013_1710,2013,1710,東聯,15433937,1265296,8857031,1.45
2013_1711,2013,1711,永光,8768980,588161,4731690,1.24
2013_1712,2013,1712,興農,15720588,455830,3337233,1.37
2013_1713,2013,1713,國化,660381,76252,1509517,0.51
2013_1714,2013,1714,和桐,54570374,477340,9129454,0.53
2013_1717,2013,1717,長興,38189390,1929799,9923971,1.94
2013_1718,2013,1718,中纖,33500385,958678,14105902,0.85
2013_1721,2013,1721,三晃,1709472,4683,836771,0.06
2013_1722,2013,1722,台肥,16018546,2538071,9800000,2.59
2013_1723,2013,1723,中碳,8819953,2209911,2369044,9.6
2013_1724,2013,1724,台硝,1450914,36584,1278139,0.29
2013_1725,2013,1725,元禎,10022368,124389,1825010,0.68
2013_1726,2013,1726,永記,8146688,1025137,1620000,6.33
2013_1727,2013,1727,中華化,2080288,109130,1000000,1.09
2013_1730,2013,1730,花仙子,1521004,198692,534812,3.72
2013_1732,2013,1732,毛寶,576695,-8997,424439,-0.21
2013_1735,2013,1735,日勝化,4726442,66949,1023880,0.69
2013_1737,2013,1737,臺鹽,2408819,125954,2000000,0.46
2013_1773,2013,1773,勝一,6716622,541150,1335000,4.05
2013_4722,2013,4722,國精化,4858179,140038,882469,1.63
2013_4725,2013,4725,信昌化,22579541,-653213,2919750,-2.24
2013_4733,2013,4733,上緯,3531425,227989,769260,3.18
2013_4755,2013,4755,三福化,3221961,131016,880000,1.62
2013_1701,2013,1701,中化,5173846,240347,2980811,0.81
2013_1707,2013,1707,葡萄王,5652413,835762,1302350,6.42
2013_1720,2013,1720,生達,3053983,298386,1786961,1.73
2013_1729,2013,1729,必翔,925549,-473316,1874142,-2.56
2013_1731,2013,1731,美吾華,1512329,63573,1329152,0.48
2013_1733,2013,1733,五鼎,1829221,371221,985314,3.77
2013_1734,2013,1734,杏輝,2577907,300691,1493252,2.01
2013_1736,2013,1736,喬山,15071154,856968,2014480,4.25
2013_1762,2013,1762,中化生,1043480,96825,775600,1.25
2013_1783,2013,1783,和康生,232947,2584,700840,0.04
2013_1786,2013,1786,科妍,200509,40352,500000,0.93
2013_1789,2013,1789,神隆,5088245,1273404,6759272,1.88
2013_3164,2013,3164,景岳,308937,30891,609119,0.51
2013_3705,2013,3705,永信,5061661,618969,2537362,2.44
2013_4104,2013,4104,佳醫,5740961,299942,1132524,2.66
2013_4106,2013,4106,雃博,2016971,133466,833855,1.6
2013_4108,2013,4108,懷特,144988,-182964,1636164,-1.12
2013_4119,2013,4119,旭富,1292734,159938,657061,2.78
2013_4133,2013,4133,亞諾法,463699,72896,595469,1.22
2013_4137,2013,4137,F-麗豐,2701472,693228,757070,10.25
2013_4141,2013,4141,F-龍燈,8657546,344076,1316320,2.7
2013_4142,2013,4142,國光生,414093,-600453,1858362,-3.25
2013_4144,2013,4144,F-康聯,1856764,355190,778470,5.06
2013_4164,2013,4164,承業醫,2062991,296862,1300000,2.42
2013_4737,2013,4737,華廣,1560897,89929,439468,2.05
2013_4746,2013,4746,台耀,2473633,-69401,840589,-0.97
2013_2616,2013,2616,山隆,19815500,248980,1130088,2.23
2013_6505,2013,6505,台塑化,931333890,26858263,95259597,2.82
2013_8926,2013,8926,台汽電,2672820,766079,5890486,1.3
2013_9908,2013,9908,大台北,5351448,624472,5163580,1.25
2013_9918,2013,9918,欣天然,2683713,214649,1805375,1.21
2013_9926,2013,9926,新海,2562940,215052,1603494,1.34
2013_9931,2013,9931,欣高,1434719,223658,946764,2.36
2013_9937,2013,9937,全國,30486204,374996,3090430,1.21
2013_1437,2013,1437,勤益,1352662,-578614,2039649,-2.84
2013_2302,2013,2302,麗正,624596,25759,1600029,0.16
2013_2303,2013,2303,聯電,123811636,12630203,126946499,1.01
2013_2311,2013,2311,日月光,219862446,15689074,78180258,2.09
2013_2325,2013,2325,矽品,69356192,5892283,31163611,1.9
2013_2329,2013,2329,華泰,9553023,-288109,8060158,-0.36
2013_2330,2013,2330,台積電,597024197,188146790,259286171,7.26
2013_2337,2013,2337,旺宏,22204420,-6305647,35214730,-1.79
2013_2338,2013,2338,光罩,1612589,42577,2627136,0.17
2013_2342,2013,2342,茂矽,1735644,-1180984,3722549,-3.17
2013_2344,2013,2344,華邦電,33135448,206564,36940232,0.06
2013_2351,2013,2351,順德,9058548,484244,1802253,2.69
2013_2363,2013,2363,矽統,450746,-286116,6135350,-0.47
2013_2369,2013,2369,菱生,6047661,361394,3801023,0.97
2013_2379,2013,2379,瑞昱,28180010,3035427,5049513,6.02
2013_2388,2013,2388,威盛,6084793,-1268980,4933034,-2.57
2013_2401,2013,2401,凌陽,8521868,52785,5969099,0.09
2013_2408,2013,2408,南科,46975291,8137820,239608511,0.34
2013_2434,2013,2434,統懋,474806,-181787,1475701,-1.25
2013_2436,2013,2436,偉詮電,1832917,127117,2214000,0.54
2013_2441,2013,2441,超豐,9192401,1615450,5688459,2.91
2013_2449,2013,2449,京元電,14694477,1816371,11925369,1.53
2013_2451,2013,2451,創見,26122390,3198957,4307617,7.43
2013_2454,2013,2454,聯發科,136055954,27515052,13497140,20.51
2013_2458,2013,2458,義隆,7794533,1545693,4332125,3.8
2013_2481,2013,2481,強茂,13719574,-268341,3719356,-0.73
2013_3006,2013,3006,晶豪科,6802908,670151,2668519,2.62
2013_3014,2013,3014,聯陽,3561112,221023,1538034,1.22
2013_3016,2013,3016,嘉晶,823454,-27227,938708,-0.29
2013_3034,2013,3034,聯詠,41449654,4744958,6085115,7.81
2013_3035,2013,3035,智原,6946007,818771,4084240,2.02
